IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.90.195.109,443,443,TRUE,FRA,Europe,Frankfurt,175,9.57
35.234.78.66,443,443,TRUE,FRA,Europe,Frankfurt,176,9.56
34.118.42.132,443,0,TRUE,FRA,Europe,Frankfurt,199,9.56
34.89.159.78,443,443,TRUE,FRA,Europe,Frankfurt,166,9.56
34.118.112.23,443,443,TRUE,FRA,Europe,Frankfurt,192,9.55
34.65.11.8,443,443,TRUE,FRA,Europe,Frankfurt,173,9.55
34.65.127.153,443,443,TRUE,FRA,Europe,Frankfurt,178,9.55
34.154.193.123,443,443,TRUE,FRA,Europe,Frankfurt,178,9.55
34.154.131.153,443,443,TRUE,FRA,Europe,Frankfurt,191,9.51
34.65.213.254,443,443,TRUE,FRA,Europe,Frankfurt,177,9.51
34.147.41.178,443,443,TRUE,FRA,Europe,Frankfurt,178,9.5
34.107.119.215,443,443,TRUE,FRA,Europe,Frankfurt,202,9.5
34.154.72.129,443,443,TRUE,FRA,Europe,Frankfurt,182,9.48
34.154.239.19,443,443,TRUE,FRA,Europe,Frankfurt,211,9.47
34.118.1.108,443,443,TRUE,FRA,Europe,Frankfurt,190,9.46
34.65.193.225,443,443,TRUE,FRA,Europe,Frankfurt,175,9.45
34.65.151.92,443,443,TRUE,FRA,Europe,Frankfurt,176,9.41
34.118.126.252,443,443,TRUE,FRA,Europe,Frankfurt,195,9.41
34.154.7.209,443,443,TRUE,FRA,Europe,Frankfurt,228,9.41
34.89.151.141,443,443,TRUE,FRA,Europe,Frankfurt,170,9.41
34.65.185.192,443,443,TRUE,FRA,Europe,Frankfurt,183,9.39
34.118.12.114,443,443,TRUE,FRA,Europe,Frankfurt,193,9.39
34.118.3.82,443,443,TRUE,FRA,Europe,Frankfurt,191,9.39
34.65.243.157,443,443,TRUE,FRA,Europe,Frankfurt,179,9.38
34.118.111.208,443,443,TRUE,FRA,Europe,Frankfurt,195,9.38
34.66.72.229,443,443,TRUE,ORD,North America,Chicago,196,9.38
34.118.115.199,443,443,TRUE,FRA,Europe,Frankfurt,188,9.38
34.154.143.35,443,443,TRUE,FRA,Europe,Frankfurt,249,9.38
34.65.52.186,443,443,TRUE,FRA,Europe,Frankfurt,180,9.37
34.89.168.9,443,443,TRUE,FRA,Europe,Frankfurt,171,9.37
34.90.233.120,443,443,TRUE,FRA,Europe,Frankfurt,179,9.37
34.118.46.250,443,443,TRUE,FRA,Europe,Frankfurt,189,9.35
34.118.112.135,443,443,TRUE,FRA,Europe,Frankfurt,202,9.35
34.116.132.252,443,443,TRUE,FRA,Europe,Frankfurt,191,9.34
34.118.83.159,443,443,TRUE,FRA,Europe,Frankfurt,190,9.34
34.65.67.185,443,443,TRUE,FRA,Europe,Frankfurt,188,9.34
34.65.226.161,443,443,TRUE,FRA,Europe,Frankfurt,183,9.33
34.91.18.119,443,443,TRUE,FRA,Europe,Frankfurt,176,9.33
34.154.49.18,443,443,TRUE,FRA,Europe,Frankfurt,181,9.33
34.116.224.156,443,443,TRUE,FRA,Europe,Frankfurt,189,9.32
34.118.51.188,443,443,TRUE,FRA,Europe,Frankfurt,190,9.32
34.116.252.167,443,443,TRUE,FRA,Europe,Frankfurt,192,9.31
35.204.211.243,443,443,TRUE,FRA,Europe,Frankfurt,176,9.31
34.34.21.165,443,443,TRUE,AMS,Europe,Amsterdam,176,9.31
34.154.57.211,443,443,TRUE,FRA,Europe,Frankfurt,181,9.3
34.116.219.249,443,443,TRUE,FRA,Europe,Frankfurt,193,9.3
34.65.204.207,443,443,TRUE,FRA,Europe,Frankfurt,191,9.3
34.118.116.97,443,443,TRUE,FRA,Europe,Frankfurt,221,9.29
34.154.158.75,443,443,TRUE,FRA,Europe,Frankfurt,250,9.29
34.154.116.167,443,443,TRUE,FRA,Europe,Frankfurt,199,9.29
34.118.54.237,443,443,TRUE,FRA,Europe,Frankfurt,192,9.29
34.91.166.255,443,443,TRUE,AMS,Europe,Amsterdam,177,9.27
34.154.201.23,443,443,TRUE,FRA,Europe,Frankfurt,173,9.27
34.116.222.145,443,443,TRUE,FRA,Europe,Frankfurt,188,9.27
34.89.138.30,443,443,TRUE,FRA,Europe,Frankfurt,173,9.26
34.34.40.79,443,443,TRUE,FRA,Europe,Frankfurt,219,9.25
34.118.85.231,443,443,TRUE,FRA,Europe,Frankfurt,260,9.24
34.91.254.161,443,443,TRUE,FRA,Europe,Frankfurt,175,9.24
34.65.30.192,443,443,TRUE,FRA,Europe,Frankfurt,175,9.24
34.89.151.141,443,443,TRUE,FRA,Europe,Frankfurt,169,9.24
34.118.103.144,443,443,TRUE,FRA,Europe,Frankfurt,194,9.24
34.141.210.131,443,443,TRUE,FRA,Europe,Frankfurt,194,9.23
34.65.217.176,443,443,TRUE,FRA,Europe,Frankfurt,175,9.21
34.154.155.112,443,443,TRUE,FRA,Europe,Frankfurt,179,9.21
34.65.157.38,443,443,TRUE,FRA,Europe,Frankfurt,175,9.21
34.118.90.236,443,443,TRUE,FRA,Europe,Frankfurt,189,9.21
34.65.168.20,443,443,TRUE,FRA,Europe,Frankfurt,195,9.2
35.204.154.178,443,443,TRUE,FRA,Europe,Frankfurt,178,9.2
34.89.159.78,443,443,TRUE,FRA,Europe,Frankfurt,170,9.2
34.91.195.98,443,443,TRUE,FRA,Europe,Frankfurt,183,9.19
34.116.215.27,443,443,TRUE,FRA,Europe,Frankfurt,188,9.18
34.118.65.97,443,443,TRUE,FRA,Europe,Frankfurt,208,9.17
34.118.20.0,443,443,TRUE,FRA,Europe,Frankfurt,188,9.16
34.154.64.192,443,443,TRUE,FRA,Europe,Frankfurt,187,9.16
34.65.208.58,443,443,TRUE,FRA,Europe,Frankfurt,171,9.15
34.65.227.171,443,443,TRUE,FRA,Europe,Frankfurt,176,9.15
34.116.229.62,443,443,TRUE,FRA,Europe,Frankfurt,189,9.14
34.118.8.36,443,443,TRUE,FRA,Europe,Frankfurt,190,9.14
34.118.61.66,443,443,TRUE,FRA,Europe,Frankfurt,194,9.12
34.65.244.35,443,443,TRUE,FRA,Europe,Frankfurt,175,9.12
34.91.167.241,443,443,TRUE,FRA,Europe,Frankfurt,177,9.11
34.65.48.167,443,443,TRUE,FRA,Europe,Frankfurt,175,9.1
34.154.155.61,443,443,TRUE,FRA,Europe,Frankfurt,179,9.1
34.65.13.41,443,443,TRUE,FRA,Europe,Frankfurt,189,9.1
34.65.48.167,443,443,TRUE,FRA,Europe,Frankfurt,187,9.09
34.118.17.145,443,443,TRUE,FRA,Europe,Frankfurt,190,9.09
34.91.29.106,443,443,TRUE,FRA,Europe,Frankfurt,181,9.08
34.118.120.60,443,443,TRUE,FRA,Europe,Frankfurt,190,9.07
34.118.68.119,443,443,TRUE,FRA,Europe,Frankfurt,193,9.07
34.89.168.9,443,0,TRUE,FRA,Europe,Frankfurt,168,9.06
34.65.199.119,443,443,TRUE,FRA,Europe,Frankfurt,182,9.06
35.198.120.88,443,443,TRUE,FRA,Europe,Frankfurt,188,9.05
34.65.221.238,443,443,TRUE,FRA,Europe,Frankfurt,225,9.05
34.116.231.238,443,443,TRUE,FRA,Europe,Frankfurt,194,9.04
34.65.185.192,443,443,TRUE,FRA,Europe,Frankfurt,179,9.03
34.86.241.215,443,443,TRUE,IAD,North America,Ashburn,212,9.03
34.118.60.134,443,443,TRUE,FRA,Europe,Frankfurt,193,9.03
34.65.235.165,443,443,TRUE,FRA,Europe,Frankfurt,174,9.01
34.150.180.124,443,443,TRUE,IAD,North America,Ashburn,210,9.01
34.118.17.145,443,443,TRUE,FRA,Europe,Frankfurt,197,9.01
34.116.222.76,443,443,TRUE,FRA,Europe,Frankfurt,192,9
34.118.90.236,443,443,TRUE,FRA,Europe,Frankfurt,188,9
34.65.226.161,443,443,TRUE,FRA,Europe,Frankfurt,173,9
34.150.133.11,443,443,TRUE,IAD,North America,Ashburn,211,8.99
34.118.103.144,443,443,TRUE,FRA,Europe,Frankfurt,192,8.99
34.118.42.132,443,443,TRUE,FRA,Europe,Frankfurt,188,8.99
34.91.227.44,443,443,TRUE,FRA,Europe,Frankfurt,176,8.97
34.118.99.186,443,443,TRUE,FRA,Europe,Frankfurt,191,8.97
34.154.152.131,443,443,TRUE,FRA,Europe,Frankfurt,177,8.96
34.147.126.181,443,443,TRUE,FRA,Europe,Frankfurt,247,8.96
34.118.12.136,443,443,TRUE,FRA,Europe,Frankfurt,187,8.96
34.150.180.124,443,443,TRUE,IAD,North America,Ashburn,212,8.96
34.118.64.15,443,443,TRUE,FRA,Europe,Frankfurt,189,8.96
34.65.42.175,443,443,TRUE,FRA,Europe,Frankfurt,174,8.96
34.118.100.194,443,443,TRUE,FRA,Europe,Frankfurt,209,8.96
34.118.121.235,443,443,TRUE,FRA,Europe,Frankfurt,198,8.94
34.86.241.215,443,443,TRUE,IAD,North America,Ashburn,218,8.94
34.65.226.161,443,443,TRUE,FRA,Europe,Frankfurt,173,8.92
34.65.27.255,443,443,TRUE,FRA,Europe,Frankfurt,197,8.92
34.118.77.33,443,443,TRUE,FRA,Europe,Frankfurt,189,8.91
34.65.127.153,443,443,TRUE,FRA,Europe,Frankfurt,178,8.9
34.118.49.153,443,443,TRUE,FRA,Europe,Frankfurt,179,8.9
34.147.41.178,443,443,TRUE,FRA,Europe,Frankfurt,180,8.9
34.145.145.76,443,443,TRUE,IAD,North America,Ashburn,213,8.9
34.65.168.20,443,443,TRUE,FRA,Europe,Frankfurt,176,8.9
34.65.199.119,443,443,TRUE,FRA,Europe,Frankfurt,193,8.9
34.150.133.11,443,443,TRUE,IAD,North America,Ashburn,211,8.89
34.154.154.29,443,443,TRUE,FRA,Europe,Frankfurt,193,8.89
34.118.8.36,443,443,TRUE,FRA,Europe,Frankfurt,190,8.88
34.90.191.52,443,443,TRUE,FRA,Europe,Frankfurt,176,8.87
34.116.233.114,443,443,TRUE,FRA,Europe,Frankfurt,190,8.86
34.65.30.192,443,443,TRUE,FRA,Europe,Frankfurt,180,8.86
34.65.117.30,443,443,TRUE,FRA,Europe,Frankfurt,163,8.85
34.65.243.249,443,443,TRUE,FRA,Europe,Frankfurt,174,8.84
34.154.3.12,443,443,TRUE,FRA,Europe,Frankfurt,205,8.84
34.118.117.35,443,443,TRUE,FRA,Europe,Frankfurt,192,8.83
34.65.42.175,443,443,TRUE,FRA,Europe,Frankfurt,177,8.82
34.154.122.73,443,443,TRUE,FRA,Europe,Frankfurt,175,8.81
34.90.5.4,443,443,TRUE,FRA,Europe,Frankfurt,173,8.81
35.200.238.235,443,443,TRUE,BOM,Asia Pacific,Mumbai,229,8.8
34.65.238.73,443,443,TRUE,FRA,Europe,Frankfurt,180,8.79
34.65.130.144,443,443,TRUE,FRA,Europe,Frankfurt,179,8.79
34.65.45.214,443,443,TRUE,FRA,Europe,Frankfurt,178,8.78
34.116.222.76,443,0,TRUE,FRA,Europe,Frankfurt,208,8.78
34.147.53.185,443,443,TRUE,FRA,Europe,Frankfurt,164,8.77
34.65.92.134,443,443,TRUE,FRA,Europe,Frankfurt,177,8.77
34.154.150.103,443,443,TRUE,FRA,Europe,Frankfurt,183,8.77
35.199.37.84,443,443,TRUE,IAD,North America,Ashburn,216,8.76
35.198.131.195,443,443,TRUE,FRA,Europe,Frankfurt,167,8.76
34.65.117.30,443,443,TRUE,FRA,Europe,Frankfurt,176,8.76
34.118.65.97,443,443,TRUE,FRA,Europe,Frankfurt,192,8.75
34.118.107.171,443,443,TRUE,FRA,Europe,Frankfurt,187,8.74
34.116.253.70,443,443,TRUE,FRA,Europe,Frankfurt,190,8.74
34.116.241.55,443,443,TRUE,FRA,Europe,Frankfurt,190,8.73
34.154.62.244,443,443,TRUE,FRA,Europe,Frankfurt,186,8.73
34.65.244.35,443,443,TRUE,FRA,Europe,Frankfurt,176,8.73
34.116.213.20,443,443,TRUE,FRA,Europe,Frankfurt,194,8.71
34.65.52.113,443,443,TRUE,FRA,Europe,Frankfurt,234,8.71
34.65.7.113,443,443,TRUE,FRA,Europe,Frankfurt,176,8.7
34.48.35.35,443,443,TRUE,IAD,North America,Ashburn,211,8.68
34.65.140.162,443,443,TRUE,FRA,Europe,Frankfurt,173,8.66
34.116.235.43,443,443,TRUE,FRA,Europe,Frankfurt,193,8.66
34.65.42.175,443,443,TRUE,FRA,Europe,Frankfurt,176,8.66
34.141.113.55,443,443,TRUE,FRA,Europe,Frankfurt,168,8.65
34.116.156.200,443,443,TRUE,FRA,Europe,Frankfurt,248,8.61
34.65.169.173,443,443,TRUE,FRA,Europe,Frankfurt,173,8.6
34.74.105.17,80,8080,FALSE,ATL,North America,Atlanta,219,8.57
34.116.203.237,443,443,TRUE,FRA,Europe,Frankfurt,190,8.56
34.65.2.140,443,443,TRUE,FRA,Europe,Frankfurt,176,8.56
34.48.35.35,443,443,TRUE,IAD,North America,Ashburn,217,8.54
34.65.40.201,443,443,TRUE,FRA,Europe,Frankfurt,229,8.53
34.118.58.248,443,443,TRUE,FRA,Europe,Frankfurt,190,8.49
34.65.188.136,443,443,TRUE,FRA,Europe,Frankfurt,173,8.48
34.74.105.17,80,8080,FALSE,ATL,North America,Atlanta,219,8.48
34.65.252.68,443,443,TRUE,FRA,Europe,Frankfurt,174,8.47
34.65.157.38,443,443,TRUE,FRA,Europe,Frankfurt,180,8.47
34.154.195.183,443,443,TRUE,FRA,Europe,Frankfurt,178,8.44
34.118.12.136,443,443,TRUE,FRA,Europe,Frankfurt,190,8.43
34.116.240.195,443,443,TRUE,FRA,Europe,Frankfurt,191,8.42
34.116.147.55,443,443,TRUE,FRA,Europe,Frankfurt,191,8.41
34.65.169.173,443,443,TRUE,FRA,Europe,Frankfurt,175,8.41
34.154.171.104,443,443,TRUE,FRA,Europe,Frankfurt,185,8.38
34.116.198.247,443,443,TRUE,FRA,Europe,Frankfurt,191,8.36
34.116.212.40,443,443,TRUE,FRA,Europe,Frankfurt,190,8.36
34.65.85.72,443,443,TRUE,FRA,Europe,Frankfurt,228,8.36
34.74.105.17,80,8080,FALSE,ATL,North America,Atlanta,218,8.36
34.154.144.59,443,443,TRUE,FRA,Europe,Frankfurt,177,8.35
34.86.241.215,443,443,TRUE,IAD,North America,Ashburn,217,8.34
130.41.41.233,8080,80,FALSE,ATL,North America,Atlanta,218,8.34
35.188.87.85,80,8080,FALSE,ORD,North America,Chicago,191,8.34
34.65.27.156,443,443,TRUE,FRA,Europe,Frankfurt,215,8.33
34.65.177.174,443,443,TRUE,FRA,Europe,Frankfurt,176,8.32
34.65.82.210,443,443,TRUE,FRA,Europe,Frankfurt,189,8.32
34.89.159.78,443,443,TRUE,FRA,Europe,Frankfurt,170,8.31
34.65.19.239,443,443,TRUE,FRA,Europe,Frankfurt,174,8.3
34.65.130.191,443,443,TRUE,FRA,Europe,Frankfurt,174,8.3
34.118.65.106,443,443,TRUE,FRA,Europe,Frankfurt,193,8.29
34.65.27.156,443,443,TRUE,FRA,Europe,Frankfurt,173,8.27
34.118.116.9,443,443,TRUE,FRA,Europe,Frankfurt,194,8.27
34.65.208.58,443,443,TRUE,FRA,Europe,Frankfurt,177,8.25
34.65.41.59,443,443,TRUE,FRA,Europe,Frankfurt,175,8.24
34.118.105.75,443,443,TRUE,FRA,Europe,Frankfurt,192,8.19
34.147.17.183,443,443,TRUE,FRA,Europe,Frankfurt,192,8.18
34.154.180.220,443,443,TRUE,FRA,Europe,Frankfurt,182,8.15
35.190.152.145,443,443,TRUE,ATL,North America,Atlanta,239,8.14
34.118.99.244,443,443,TRUE,FRA,Europe,Frankfurt,192,8.14
34.118.77.33,443,443,TRUE,FRA,Europe,Frankfurt,191,8.13
34.118.56.112,443,443,TRUE,FRA,Europe,Frankfurt,200,8.11
34.118.16.81,443,443,TRUE,FRA,Europe,Frankfurt,205,8.1
34.91.29.106,443,443,TRUE,FRA,Europe,Frankfurt,176,8.08
34.116.224.197,443,443,TRUE,FRA,Europe,Frankfurt,194,8.06
34.65.7.113,443,443,TRUE,FRA,Europe,Frankfurt,178,8.05
34.89.143.19,443,443,TRUE,FRA,Europe,Frankfurt,167,8.03
34.65.240.28,443,443,TRUE,FRA,Europe,Frankfurt,176,8.02
34.65.213.254,443,443,TRUE,FRA,Europe,Frankfurt,177,8.01
34.116.212.40,443,0,TRUE,FRA,Europe,Frankfurt,191,8.01
34.148.187.247,443,443,TRUE,ATL,North America,Atlanta,281,7.98
35.204.253.172,443,443,TRUE,FRA,Europe,Frankfurt,175,7.98
34.148.187.247,443,443,TRUE,ATL,North America,Atlanta,219,7.96
35.234.108.163,443,443,TRUE,FRA,Europe,Frankfurt,168,7.96
34.118.51.242,443,443,TRUE,FRA,Europe,Frankfurt,192,7.94
34.66.72.229,443,443,TRUE,ORD,North America,Chicago,197,7.9
34.65.130.33,443,443,TRUE,FRA,Europe,Frankfurt,175,7.89
34.91.133.41,443,0,TRUE,FRA,Europe,Frankfurt,192,7.89
34.91.15.225,443,443,TRUE,FRA,Europe,Frankfurt,223,7.88
34.65.241.102,443,443,TRUE,FRA,Europe,Frankfurt,199,7.86
35.204.138.58,443,443,TRUE,FRA,Europe,Frankfurt,176,7.85
34.65.36.136,443,443,TRUE,FRA,Europe,Frankfurt,177,7.85
34.116.141.170,443,0,TRUE,FRA,Europe,Frankfurt,190,7.84
34.154.197.8,443,443,TRUE,FRA,Europe,Frankfurt,211,7.83
34.154.232.106,443,443,TRUE,FRA,Europe,Frankfurt,186,7.82
34.90.191.52,443,443,TRUE,FRA,Europe,Frankfurt,176,7.82
34.65.10.225,443,443,TRUE,FRA,Europe,Frankfurt,218,7.78
34.65.11.153,443,443,TRUE,FRA,Europe,Frankfurt,207,7.77
34.65.193.225,443,443,TRUE,FRA,Europe,Frankfurt,208,7.77
34.116.248.73,443,443,TRUE,FRA,Europe,Frankfurt,244,7.77
34.65.64.197,443,443,TRUE,FRA,Europe,Frankfurt,217,7.71
34.65.240.58,443,443,TRUE,FRA,Europe,Frankfurt,177,7.71
34.116.239.73,443,443,TRUE,FRA,Europe,Frankfurt,190,7.6
34.65.29.108,443,443,TRUE,FRA,Europe,Frankfurt,172,7.55
34.65.13.41,443,443,TRUE,FRA,Europe,Frankfurt,183,7.55
34.147.117.132,443,443,TRUE,FRA,Europe,Frankfurt,249,7.52
34.34.28.93,443,443,TRUE,FRA,Europe,Frankfurt,205,7.48
34.141.15.247,443,443,TRUE,FRA,Europe,Frankfurt,178,7.36
34.65.130.144,443,443,TRUE,FRA,Europe,Frankfurt,176,7.32
34.89.234.44,443,443,TRUE,FRA,Europe,Frankfurt,155,7.3
34.65.101.177,443,443,TRUE,FRA,Europe,Frankfurt,185,7.3
34.65.40.201,443,443,TRUE,FRA,Europe,Frankfurt,213,7.27
34.65.30.192,443,443,TRUE,FRA,Europe,Frankfurt,178,7.26
34.65.13.217,443,443,TRUE,FRA,Europe,Frankfurt,175,7.23
34.154.95.194,443,443,TRUE,FRA,Europe,Frankfurt,210,7.19
34.74.105.17,80,8080,FALSE,ATL,North America,Atlanta,218,7.19
34.65.85.165,443,443,TRUE,FRA,Europe,Frankfurt,175,7.17
34.118.88.27,443,443,TRUE,FRA,Europe,Frankfurt,194,7.17
34.65.29.108,443,443,TRUE,FRA,Europe,Frankfurt,176,7.15
34.65.173.134,443,443,TRUE,FRA,Europe,Frankfurt,166,7.12
34.65.151.75,443,443,TRUE,FRA,Europe,Frankfurt,180,7.1
34.147.117.132,443,443,TRUE,FRA,Europe,Frankfurt,209,7.1
34.65.73.32,443,443,TRUE,FRA,Europe,Frankfurt,181,7.09
34.65.52.186,443,443,TRUE,FRA,Europe,Frankfurt,174,7.09
34.116.255.149,443,443,TRUE,FRA,Europe,Frankfurt,206,7.08
35.246.248.192,443,443,TRUE,FRA,Europe,Frankfurt,174,7.07
34.154.172.76,443,443,TRUE,FRA,Europe,Frankfurt,180,7.03
34.154.204.63,443,443,TRUE,FRA,Europe,Frankfurt,178,7
34.154.154.80,443,443,TRUE,AMS,Europe,Amsterdam,200,7
